block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
8,63,yellow_55dB026,,,,toothbrush_typical,toothbrush_atypical,right,0,right,black-background,PLP
8,62,yellow_55dB026,,,,toothbrush_typical,toothbrush_atypical,left,0,left,black-background,PLP
8,61,yellow_55dB026,,,,toothbrush_typical,toothbrush_atypical,left,0,both,black-background,PLP
8,60,silence,,,,,,,,,black-background,ITI
8,59,acrossTheUniverse_55dB016,,,,ball_typical,ball_atypical,left,0,left,black-background,PLP
8,58,acrossTheUniverse_55dB016,,,,ball_typical,ball_atypical,right,0,right,black-background,PLP
8,57,acrossTheUniverse_55dB016,,,,ball_typical,ball_atypical,left,0,both,black-background,PLP
8,56,silence,,,,,,,,,black-background,ITI
8,55,yellow_55dB017,,,,apple_typical,apple_atypical,left,0,left,black-background,PLP
8,54,yellow_55dB017,,,,apple_typical,apple_atypical,right,0,right,black-background,PLP
8,53,yellow_55dB017,,,,apple_typical,apple_atypical,left,0,both,black-background,PLP
8,52,silence,,,,,,,,,black-background,ITI
8,51,acrossTheUniverse_55dB011,,,,crayon_typical,crayon_atypical,right,0,right,black-background,PLP
8,50,acrossTheUniverse_55dB011,,,,crayon_typical,crayon_atypical,left,0,left,black-background,PLP
8,49,acrossTheUniverse_55dB011,,,,crayon_typical,crayon_atypical,left,0,both,black-background,PLP
8,48,silence,,,,,,,,,black-background,ITI
8,47,yellow_55dB013,,,,Bubbles6,Bubbles6,,,both,black-background,PLP
7,46,silence,,,,,,,,,black-background,ITI
7,45,acrossTheUniverse_55dB008,,,,apple_typical,apple_atypical,right,0,right,black-background,PLP
7,44,acrossTheUniverse_55dB008,,,,apple_typical,apple_atypical,left,0,left,black-background,PLP
7,43,acrossTheUniverse_55dB008,,,,apple_typical,apple_atypical,left,0,both,black-background,PLP
7,42,silence,,,,,,,,,black-background,ITI
7,41,yellow_55dB009,,,,crayon_typical,crayon_atypical,left,0,left,black-background,PLP
7,40,yellow_55dB009,,,,crayon_typical,crayon_atypical,right,0,right,black-background,PLP
7,39,yellow_55dB009,,,,crayon_typical,crayon_atypical,left,0,both,black-background,PLP
7,38,silence,,,,,,,,,black-background,ITI
7,37,acrossTheUniverse_55dB004,,,,toothbrush_typical,toothbrush_atypical,right,0,right,black-background,PLP
7,36,acrossTheUniverse_55dB004,,,,toothbrush_typical,toothbrush_atypical,left,0,left,black-background,PLP
