block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
7,36,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,right,1,right,black-background,PLP
7,37,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
7,38,,,,,,,,,,black-background,PLP
7,39,yellow_55dB009,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
7,40,yellow_55dB009,,,,crayon_atypical,crayon_typical,right,1,right,black-background,PLP
7,41,yellow_55dB009,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
7,42,,,,,,,,,,black-background,PLP
7,43,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
7,44,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,right,1,right,black-background,PLP
7,45,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
7,46,,,,,,,,,,black-background,PLP
8,47,yellow_55dB013,,,,Bubbles6,Bubbles6,,,both,black-background,PLP
8,48,,,,,,,,,,black-background,PLP
8,49,acrossTheUniverse_55dB011,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
8,50,acrossTheUniverse_55dB011,,,,crayon_atypical,crayon_typical,right,1,right,black-background,PLP
8,51,acrossTheUniverse_55dB011,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
8,52,,,,,,,,,,black-background,PLP
8,53,yellow_55dB017,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
8,54,yellow_55dB017,,,,apple_atypical,apple_typical,right,1,right,black-background,PLP
8,55,yellow_55dB017,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
8,56,,,,,,,,,,black-background,PLP
8,57,acrossTheUniverse_55dB016,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
8,58,acrossTheUniverse_55dB016,,,,ball_atypical,ball_typical,right,1,right,black-background,PLP
8,59,acrossTheUniverse_55dB016,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
8,60,,,,,,,,,,black-background,PLP
8,61,yellow_55dB026,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
8,62,yellow_55dB026,,,,toothbrush_atypical,toothbrush_typical,right,1,right,black-background,PLP
8,63,yellow_55dB026,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
8,64,,,,,,,,,,black-background,PLP
9,65,yellow_55dB013,,,,Drops6,Drops6,,,both,black-background,PLP
9,66,,,,,,,,,,black-background,PLP
9,67,yellow_55dB000,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
9,68,yellow_55dB000,,,,apple_atypical,apple_typical,right,1,right,black-background,PLP
9,69,yellow_55dB000,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
9,70,,,,,,,,,,black-background,PLP
9,71,acrossTheUniverse_55dB000,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
9,72,acrossTheUniverse_55dB000,,,,crayon_atypical,crayon_typical,right,1,right,black-background,PLP
9,73,acrossTheUniverse_55dB000,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
9,74,,,,,,,,,,black-background,PLP
9,75,yellow_55dB009,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
9,76,yellow_55dB009,,,,toothbrush_atypical,toothbrush_typical,right,1,right,black-background,PLP
9,77,yellow_55dB009,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
9,78,,,,,,,,,,black-background,PLP
9,79,acrossTheUniverse_55dB004,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
9,80,acrossTheUniverse_55dB004,,,,ball_atypical,ball_typical,right,1,right,black-background,PLP
9,81,acrossTheUniverse_55dB004,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
